Date,Open,High,Low,Close,Volume
23-Dec-15,204.69,206.07,204.58,206.02,110987228
22-Dec-15,202.72,203.85,201.55,203.50,111026246
21-Dec-15,201.41,201.88,200.09,201.67,99094290
18-Dec-15,202.77,202.93,199.83,200.02,251393535
16-Dec-15,206.36,208.39,204.80,208.03,197017008
15-Dec-15,204.70,206.11,202.87,205.03,154069569
14-Dec-15,202.07,203.05,199.95,202.90,182385177
11-Dec-15,203.35,204.14,201.51,201.88,211173305
10-Dec-15,205.42,207.43,205.14,205.87,116128884
9-Dec-15,206.19,208.68,204.18,205.34,162401537
8-Dec-15,206.49,208.29,205.78,206.95,103372367
7-Dec-15,209.23,209.73,207.20,208.35,102027111
4-Dec-15,206.08,209.97,205.93,209.62,192913879
3-Dec-15,208.83,209.15,204.75,205.61,166224154
2-Dec-15,210.62,211.00,208.23,208.53,108441259
1-Dec-15,209.44,210.82,209.11,210.68,97858418
30-Nov-15,209.75,209.89,208.56,208.69,112822700
27-Nov-15,209.43,209.80,208.86,209.56,37317779
25-Nov-15,209.50,209.74,209.01,209.32,51980062
24-Nov-15,207.87,209.83,207.41,209.35,98874365
23-Nov-15,209.38,209.98,208.52,209.07,64931172
20-Nov-15,209.45,210.12,208.86,209.31,94011519
19-Nov-15,208.59,209.05,208.20,208.55,88220465
18-Nov-15,206.04,208.90,205.99,208.73,121342544
17-Nov-15,205.99,207.04,204.88,205.47,121123744
16-Nov-15,202.32,205.69,202.18,205.62,117645231
13-Nov-15,204.35,204.67,202.44,202.54,153577050
12-Nov-15,206.50,207.06,204.82,204.84,121315200
11-Nov-15,208.88,208.94,207.66,207.74,67845971
10-Nov-15,207.51,208.60,207.19,208.56,75874602
9-Nov-15,209.31,209.49,206.95,208.08,131008660
6-Nov-15,209.74,210.32,208.46,210.04,110471473
5-Nov-15,210.43,210.98,209.09,210.15,78408744
4-Nov-15,211.35,211.50,209.72,210.36,96224477
3-Nov-15,209.97,211.66,209.70,211.00,95246052
2-Nov-15,208.32,210.62,208.17,210.39,86270811
30-Oct-15,209.06,209.44,207.74,207.93,131076942
29-Oct-15,208.35,209.27,208.21,208.83,90525498
28-Oct-15,207.00,208.98,206.21,208.95,135906725
27-Oct-15,206.20,207.00,205.79,206.60,77905770
26-Oct-15,207.30,207.37,206.56,207.00,69032965
23-Oct-15,207.25,207.95,206.30,207.51,144442340
22-Oct-15,202.98,205.51,201.85,205.26,174911723
21-Oct-15,203.61,203.79,201.65,201.85,102038033
20-Oct-15,202.85,203.84,202.55,203.09,78448484
19-Oct-15,202.50,203.37,202.13,203.37,76523897
16-Oct-15,202.83,203.29,201.92,203.27,114580052
